Angle,Wake Forest Surrogate 1,Wake Forest Surrogate 2,Wake Forest Surrogate 3,Wake Forest Sawbones,McGill Surrogate 1,McGill Surrogate 2,McGill Surrogate 3,McGill Sawbones
0,5.319996602,5.455537638,0.903733197,10.82630338,28.60122909,23.31068003,29.46163417,19.61329906
15,2.238418324,4.418072749,1.691120598,10.90767004,27.81911339,23.64056735,28.22615975,19.77017734
30,5.257776729,4.923214545,2.387585838,11.31331327,27.21671449,21.97616783,25.48865148,20.04120711
45,6.357365082,6.967630625,6.121355503,12.99178211,27.08407847,22.60716497,23.4610778,19.4403406
60,8.834125986,9.384992214,9.262210947,13.39189926,26.2765858,24.18115334,22.27213331,18.30223203
75,11.79785385,11.12506644,9.780409975,13.50566104,25.45742657,24.33814155,20.36976856,18.01777048
90,14.03602179,13.78130162,8.647761251,13.04399803,27.89800049,26.26748637,20.0757252,19.79374322
105,13.85258303,13.12385114,8.596605317,14.82069325,27.66677688,27.02799996,20.52643556,18.31690738
120,13.034659,12.84105042,5.207739579,13.28796451,27.94243232,29.11090355,22.05366996,23.03477848
135,12.66698739,11.8198051,2.403144017,10.75003305,28.25366701,29.17695799,22.91692809,26.40212457
150,12.05596079,12.01422671,0.542534263,5.162119344,28.83263447,32.18476305,26.33176412,28.41967657
165,11.65385609,11.2790702,1.82140862,0.676412175,29.28629797,32.70306091,27.30852829,29.82410588
